kartez,family,genus,species,subspecies_variety,common name,photosynthetic_pathway,life_cycle,life_form,native,path,a_p,g_f,apgf
PASP,Asteraceae,Palafoxia,sphacelata,,othake,,a,H,y,C3,a,f,a_f
PEAM,Scrophulariaceae,Penstemon,ambiguus,,Gilia beardtongue,C3,p,H,y,C3,p,f,p_f
PEAML2,Scrophulariaceae,Penstemon,ambiguus,var. laevissimus,pink plains beardtongue,C3,p,ss/H,y,C3,p,f,p_f
PEAN,Asteraceae,Pectis,angustifolia,,lemonscent,C4,a,H,y,C4,a,f,a_f
PEBA2,Scrophulariaceae,Penstemon,barbatus,,beardlip penstemon,C3,p,H,y,C3,p,f,p_f
PEBAT,Scrophulariaceae,Penstemon,barbatus,var. torreyi,Torrey's penstemon,C3,p,H,y,C3,p,f,p_f
PECA10,Asteraceae,Pericome,caudata,,mountian tail-leaf,,p,H,y,C3,p,f,p_f
PECA12,Rosaceae,Petrophyton,caespitosum,,mat rockspirea,,p,ss/H,y,C3,p,f,p_f
PEFE,Scrophulariaceae,Penstemon,fendleri,,Fendler's penstemon,C3,p,H,y,C3,p,f,p_f
PEHY4,Fabaceae,Pediomelum,hypogaeum,,subterranean Indian breadroot,,p,H,y,C3,p,f,p_f
PEJA,Scrophulariaceae,Penstemon,jamesii,,James' beardtongue,C3,p,ss/H,y,C3,p,f,p_f
PEOP,Scrophulariaceae,Penstemon,ophianthus,,coiled anther penstemon,,p,H,y,C3,p,f,p_f
PEVI4,Scrophulariaceae,Penstemon,virgatus,,upright blue beardtongue,C3,p,H,y,C3,p,f,p_f
PHACE,Hydrophyllaceae,Phacelia,sp.,,,,abp,H,y,C3,p,f,p_f
PHAN3,Fabaceae,Phaseolus,angustissimus,,slimleaf bean,,p,V/H,y,C3,p,f,p_f
PHCO,Hydrophyllaceae,Phacelia,coerulea,,skyblue phacelia,,a,H,y,C3,a,f,a_f
PHCR,Hydrophyllaceae,Phacelia,crenulata,var. corrugata,cleafleaf wildheliotrope,,a,H,y,C3,a,f,a_f
PHHE4,Solanaceae,Physalis,hederifolia,,ivyleaf groundcherry,C3,p,ss/H,y,C3,p,f,p_f
PHHEF,Solanaceae,Physalis,hederifolia,var. fendleri,Fendler's groundcherry,C3,p,ss/H,y,C3,p,f,p_f
PHHEH2,Solanaceae,Physalis,hederifolia,var. hederifolia,ivyleaf groundcherry,C3,p,ss/H,y,C3,p,f,p_f
PHIN,Hydrophyllaceae,Phacelia,integrifolia,,gypsum phacelia,,abp,H,y,C3,p,f,p_f
PHINI5,Hydrophyllaceae,Phacelia,integrifolia,var. integrifolia,gypsum phacelia,,abp,H,y,C3,p,f,p_f
PHJU,Viscaceae,Phoradendron,juniperinum,,juniper mistletoe,,p,S/ss/sp,y,C3,p,s,p_s
PHLO15,Portulacaceae,Phemeranthus,longipes,,pink fameflower,,p,H,y,NA,p,f,p_f
PHLOL3,Solanaceae,Physalis,longifolia,var. longifolia,longleaf groundcherry,C3,p,H,y,C3,p,f,p_f
PHPA29,Portulacaceae,Phemeranthus,parviflorus,,sunbright,C3,p,ss/H,y,NA,p,f,p_f
PIED,Pinaceae,Pinus,edulis,,twoneedle pinyon,C3,p,T,y,C3,p,t,p_t
PLJA,Poaceae,Pleuraphis,jamesii,,James' galleta,,p,G,y,C4,p,g,p_g
PLMA2,Plantaginaceae,Plantago,major,,common plaintain,,p,H,y,C3,p,f,p_f
PLPA2,Plantaginaceae,Plantago,patagonica,,woolly plantain,C3,a,H,y,C3,a,f,a_f
POAL4,Polygalaceae,Polygala,alba,,white milkwort,,p,H,y,C3,p,f,p_f
POBI,Poaceae,Poa,bigelovii,,Bigelow's bluegrass,C3,a,G,y,C3,a,g,a_g
PODO3,Capparaceae,Polanisia,dodecandra,,redwhisker clammyweed,C3,a,H,y,C3,a,f,a_f
PODOR,Capparaceae,Polanisia,dodecandra,subsp. riograndensis,Rio Grande clammyweed,C3,a,H,y,C3,a,f,a_f
PODOT,Capparaceae,Polanisia,dodecandra,subsp. trachysperma,sandyseed clammyweed,C3,a,H,y,C3,a,f,a_f
POFE,Poaceae,Poa,fendleriana,,muttongrass,C3,p,G,y,C3,p,g,p_g
POFEF,Poaceae,Poa,fendleriana,subsp. fendleriana,muttongrass,C3,p,G,y,C3,p,g,p_g
POFEL,Poaceae,Poa,fendleriana,subsp. longiligula,muttongrass,,p,G,y,C3,p,g,p_g
POFR2,Salicaceae,Populus,fremontii,,Fremont cottonwood,,p,T ,y,C3,p,t,p_t
POHA5,Portulacaceae,Portulaca,halimoides,,silkcotton purslane,C4,a,H/su,y,C4,a,f,a_f
POJA5,Fabaceae,Pomaria,jamesii,,James' holdback,,p,ss/H,y,C3,p,f,p_f
POOL,Portulacaceae,Portulaca,oleracea,,little hogweed,,a,H/su,y,C4,a,f,a_f
POUN3,Capparaceae,Polanisia,uniglandulosa,,Mexican clammyweed,C3,ap,H,y,C3,p,f,p_f
PRGL2,Fabaceae,Prosopis,glandulosa,,honey mesquite,C3,p,T/S,y,C3,p,t,p_t
PRGLT,Fabaceae,Prosopis,glandulosa,var. torreyana,western honey mesquite,C3,p,T/S,y,C3,p,t,p_t
PRPA2,Pedaliaceae,Proboscidea,parviflora,,doubleclaw,C3,a,H,y,C3,a,f,a_f
PRPAP3,Pedaliaceae,Proboscidea,parviflora,subsp. parviflora,devil's claw,C3,a,H,y,C3,a,f,a_f
PRVI,Rosaceae,Prunus,virginiana,,chokecherry,C3,p,T/S,y,C3,p,t,p_t
PRVIM,Rosaceae,Prunus,virginiana,var. melanocarpa,black chokecherry,C3,p,T/S,y,C3,p,t,p_t
PSAS2,Asteraceae,Psilactis,asteroides,,New Mexico tansyaster,,abp,H,y,NA,p,f,p_f
PSLA3,Fabaceae,Psoralidium,lanceolatum,,salty popcornflower,,p,H,y,C3,p,f,p_f
PSSC6,Fabaceae,Psorothamnus,scoparius,,broom dalea,,p,S/ss,y,C3,p,s,p_s
PSSP,Asteraceae,Psilostrophe,sparsiflora,,greenstem paperflower,,p,ss/H,y,C3,p,f,p_f
PSSPI,Poaceae,Pseudoroegneria,spicata,var. inermis,beardless wheatgrass,,p,G,y,NA,p,g,p_g
PSSPS,Poaceae,Pseudoroegneria,spicata,subsp. spicata,bluebunch wheatgrass,,p,G,y,NA,p,g,p_g
PSTA,Asteraceae,Psilostrophe,tagetina,,woolly paperflower,,p,H,y,NA,p,f,p_f
PSTAT,Asteraceae,Psilostrophe,tagetina,var. tagetina,woolly paperflower,,p,H,y,C3,p,f,p_f
PTTRA,Rutaceae,Ptelea,trifoliata,subsp. angustifolia ,common hoptree,,p,T/S,y,C3,p,t,p_t
QUTU2,Fagaceae,Quercus,turbinella,,Sonoran scrub oak,C3,p,T/S,y,C3,p,t,p_t
RACO3,Asteraceae,Ratibida,columnifera,,upright prairie coneflower,,p,H,y,C3,p,f,p_f
RATA,Asteraceae,Ratibida,tagetes,,green prairie coneflower,,p,H,y,C3,p,f,p_f
REAR,Euphorbiaceae,Reverchonia,arenaria,,sand reverchonia,C3,a,H,y,C3,a,f,a_f
RHMI3,Anacardiaceae,Rhus,microphylla,,littleleaf sumac,C3,p,S/T,y,C3,p,s,p_s
RHTR,Anacardiaceae,Rhus,trilobata,,skunkbush sumac,C3,p,S,y,C3,p,s,p_s
RHTRP,Anacardiaceae,Rhus,trilobata,var. pilosissima,pubescent squawbush,C3,p,S,y,C3,p,s,p_s
RILE,Grossulariaceae,Ribes,leptanthum,,trumpet gooseberry,,p,S,y,C3,p,s,p_s
ROPA2,Brassicaceae,Rorippa,palustris,,bog yellowcress,,abp,H,y,C3,p,f,p_f
RUAL4,Polygonaceae,Rumex,altissimus,,pale dock,C3,p,H,y,C3,p,f,p_f
RUCR,Polygonaceae,Rumex,crispus,,curly dock,C3,p,H,y,C3,p,f,p_f
RUSAM,Polygonaceae,Rumex,salicifolius,var. mexicanus,Mexican dock,C3,p,H,y,C3,p,f,p_f
SAAB,Asteraceae,Sanvitalia,abertii,,Albert's creeping zinnia,,a,H,y,C3,a,f,a_f
SACU,Alismaceae,Sagittaria,cuneata,,arumleaf arrowhead,,p,H,y,C3,p,f,p_f
SAEX,Salicaceae,Salix,exigua,,narrowleaf willow,C3,p,T/S,y,C3,p,t,p_t
SAFL5,Asteraceae,Sartwellia,flaveriae,,threadleaf glowwart,,p,H,y,C3,p,f,p_f
SAGO,Salicaceae,Salix,gooddingii,,Goodding's willow,C3,p,T,y,C3,p,t,p_t
SAHE3,Lamiaceae,Salvia,henryi,,crimson sage,,p,H,y,C3,p,f,p_f
SASU7,Lamiaceae,Salvia,subincisa,,sawtooth sage,,a,H,y,C3,a,f,a_f
SCAM6,Cyperaceae,Schoenoplectus,americanus,,chairmaker's bulrush,,p,G,y,NA,p,g,p_g
SCBR2,Poaceae,Scleropogon,brevifolius,,burrograss,C4,p,G,y,C4,p,g,p_g
SCLI,Brassicaceae,Schoenocrambe,linifolia,,flaxleaf plainsmustard,,p,H,y,C3,p,f,p_f
SCLI12,Brassicaceae,Schoenocrambe,linearifolia,,slimleaf plainsmustard,,p,ss/H,y,C3,p,f,p_f
SCMU6,Asteraceae,Schkuhria,multiflora,,manyflower false threadleaf,,a,H,y,C3,a,f,a_f
SCPA10,Cactaceae,Sclerocactus,papyracanthus,,paperspine fishhook cactus,CAM,p,S/su,y,CAM,p,s,p_s
SCSAH,Poaceae,Schizachyrium,sanguineum,var. hirtiflorum,crimson bluestem,,p,G,y,C4,p,g,p_g
SCSC,Poaceae,Schizachyrium,scoparium,,little bluestem,,p,G,y,C4,p,g,p_g
SEBA3,Fabaceae,Senna,bauhinioides,,twinleaf senna,C3,p,ss/H,y,C3,p,f,p_f
SEDI3,Nyctaginaceae,Selinocarpus,diffusus,,,,p,S/ss/H,y,C3,p,s,p_s
SEFL3,Asteraceae,Senecio,flaccidus,,threadleaf ragwort,C3,p,ss/H,y,NA,p,f,p_f
SEFLD,Asteraceae,Senecio,flaccidus,var. douglasii,Douglas' ragwort,C3,p,ss/H,y,NA,p,f,p_f
SEFLF,Asteraceae,Senecio,flaccidus,var. flaccidus,threadleaf ragwort,C3,p,ss/H,y,C3,p,f,p_f
SELA3,Nyctaginaceae,Selinocarpus,lanceolatus,,lanceleaf moonpod,,p,ss/H,y,C3,p,f,p_f
SELE6,Poaceae,Setaria,leucopila,,streambed bristlegrass,,p,G,y,NA,p,g,p_g
SEMA5,Poaceae,Setaria,macrostachya,,large-spike bristlegrass,C4,p,G,y,C4,p,g,p_g
SEMUM,Selaginellaceae,Selaginella,mutica,var. mutica,bluntleaf spikemoss,,p,H,y,C3,p,f,p_f
SESPM,Asteraceae,Senecio,spartoides,var. multicapitatus,broom-like ragwort,C3,p,ss/H,y,NA,p,f,p_f
SEUN,Selaginellaceae,Selaginella,underwoodii,,Underwood's spikemoss,,p,H,y,C3,p,f,p_f
SEVI4,Poaceae,Setaria,viridis,,green bristlegrass,C4,a,G,y,C4,a,g,a_g
SIAN2,Caryophyllaceae,Silene,antirrhina,,sleepy silene,C3,a,H,y,C3,a,f,a_f
SIPL,Caryophyllaceae,Silene,plankii,,Plank's catchfly,C3,p,H,y,C3,p,f,p_f
SOCAG,Asteraceae,Solidago,canadensis,var. gilvocanescens,shorthair goldenrod,,p,H,y,NA,p,f,p_f
SOEL,Solanaceae,Solanum,elaeagnifolium,,silverleaf nightshade,C3,p,ss/H,y,C3,p,f,p_f
SOHE,Solanaceae,Solanum,heterodoxum,,melonleaf nightshade,C3,a,H,y,C3,a,f,a_f
SOJA,Solanaceae,Solanum,jamesii,,,C3,p,H,y,C3,p,f,p_f
SONU,Fabaceae,Sophora,nuttalliana,,silky sophora,,p,H,y,C3,p,f,p_f
SOVE6,Asteraceae,Solidago,velutina,,threenerve goldenrod,C3,p,ss/H,y,C3,p,f,p_f
SPAI,Poaceae,Sporobolus,airoides,,alkali sacaton,C4,p,G,y,C4,p,g,p_g
SPCO4,Poaceae,Sporobolus,contractus,,spike dropseed,C4,p,G,y,C4,p,g,p_g
SPCOC,Malvaceae,Sphaeralcea,coccinea,subsp. coccinea,scalet globemallow,,bp,ss/H,y,C3,p,f,p_f
SPCOE,Malvaceae,Sphaeralcea,coccinea,subsp. elata,scarlet globemallow,,bp,ss/H,y,C3,p,f,p_f
SPCR,Poaceae,Sporobolus,cryptandrus,,sand dropseed,C4,p,G,y,C4,p,g,p_g
SPDI3,Malvaceae,Sphaeralcea,digitata,,juniper globemallow,,p,ss/H,y,C3,p,f,p_f
SPDID,Malvaceae,Sphaeralcea,digitata,subsp. digitata,juniper globemallow,,p,ss/H,y,C3,p,f,p_f
SPFE,Malvaceae,Sphaeralcea,fendleri,,Fendler's globemallow,,p,ss/H,y,C3,p,f,p_f
SPFEF,Malvaceae,Sphaeralcea,fendleri,subsp. fendleri,Fendler's globemallow,,p,ss/H,y,C3,p,f,p_f
SPFL2,Poaceae,Sporobolus,flexuosus,,mesa dropseed,C4,p,G,y,C4,p,g,p_g
SPGI,Poaceae,Sporobolus,giganteus,,giant dropseed,C4,p,G,y,C4,p,g,p_g
SPGRP2,Malvaceae,Sphaeralcea,grossulariifolia,subsp. pedata,gooseberryleaf globemallow,,p,ss/H,y,C3,p,f,p_f
SPHA,Malvaceae,Sphaeralcea,hastulata,,spear globemallow,,p,ss/H,y,C3,p,f,p_f
SPIN2,Malvaceae,Sphaeralcea,incana,,gray globemallow,,p,ss/H,y,C3,p,f,p_f
SPLA,Malvaceae,Sphaeralcea,laxa,,caliche globemallow,,p,ss/H,y,C3,p,f,p_f
SPLE,Malvaceae,Sphaeralcea,leptophylla,,scaly globemallow,,p,ss/H,y,C3,p,f,p_f
SPNE,Poaceae,Sporobolus,nealleyi,,gyp dropseed,C4,p,G,y,C4,p,g,p_g
SPORO,Poaceae,Sporobolus,sp.,,dropseed,C4,p,G,y,C4,p,g,p_g
SPPO6,Malvaceae,Sphaeralcea,polychroma,,hot springs globemallow,,p,ss/H,y,C3,p,f,p_f
SPPR3,Malvaceae,Sphaeralcea,procera,,Luna County globemallow,,p,ss/H,y,C3,p,f,p_f
SPWR,Malvaceae,Sphaeralcea,wrightii,,Wright's globemallow,,p,ss/H,y,C3,p,f,p_f
SPWR2,Poaceae,Sporobolus,wrightii,,big sacaton,C4,p,G,y,C4,p,g,p_g
STCAC,Brassicaceae,Streptanthus,carinatus,subsp. carinatus,lyreleaf jewelflower,,ab,H,y,C3,a,f,a_f
STEM,Zygophyllaceae,Larrea,tridentata,,creosote bush,C3,p,S,y,C3,p,s,p_s
STLO,Caryophyllaceae,Stellaria,longifolia,,longleaf starwort,,p,H,y,C3,p,f,p_f
STMIM,Asteraceae,Stephanomeria,minor,var. minor,narrowleaf wirelettuce,,p,ss/H,y,NA,p,f,p_f
STPA4,Asteraceae,Stephanomeria,pauciflora,,brownplume wirelettuce,C3,p,ss/H,y,C3,p,f,p_f
SUMO,Chenopodiaceae,Suaeda,moquinii,,Mojave seablite,,p,S/ss/H,y,NA,p,s,p_s
SUSU,Chenopodiaceae,Suaeda,suffrutescens,,desert seepweed,,p,S/ss/H,y,C4,p,s,p_s
SYDI2,Asteraceae,Symphyotrichum,divaricatum,,southern annual saltmarsh aster,C3,ab,H,y,NA,a,f,a_f
SYFAC,Asteraceae,Symphyotrichum,falcatum,var. commutatum,white prairie aster,C3,p,H,y,NA,p,f,p_f
SYLAH6,Asteraceae,Symphyotrichum,lanceolatum,subsp. hesperium var. hesperium,white panicle aster,C3,p,H,y,NA,p,f,p_f
SYPA,Caprifoliaceae,Symphoricarpos,palmeri,,Palmer's snowberry,,p,S,y,C3,p,s,p_s
SYPRP,Asteraceae,Symphyotrichum,praealtum,var. praealtum,willowleaf aster,,p,H,y,NA,p,f,p_f
SYRO,Caprifoliaceae,Symphoricarpos,rotundifolius,,roundleaf snowberry,,p,S,y,C3,p,s,p_s
TEAR4,Asteraceae,Tetraneuris,argentea,,perkysue,,p,H,y,C3,p,f,p_f
TECO,Verbenaceae,Tetraclea,coulteri,,Coulter's wrinklefruit,,p,ss/H,y,C3,p,f,p_f
TELA,Lamiaceae,Teucrium,laciniatum,,lacy germander,,p,H,y,C3,p,f,p_f
THAC,Asteraceae,Thymophylla,acerosa,,pricklyleaf dogweed,C3,p,ss/H,y,C3,p,f,p_f
THFE,Ranunculaceae,Thalictrum,fendleri,,Fendler's meadow-rue,,p,H,y,C3,p,f,p_f
THLO,Asteraceae,Thelesperma,longipes,,longstalk greenthread,,p,ss/H,y,C3,p,f,p_f
THME,Asteraceae,Thelesperma,megapotamicum,,Hopi tea greenthread,,p,H,y,C3,p,f,p_f
THPEB,Asteraceae,Thymophylla,pentachaeta,var. belenidium,fiveneedle pricklyleaf,,p,ss/H,y,NA,p,f,p_f
THPU3,Brassicaceae,Thelypodiopsis,purpusii,,Purpus' tumblemustard,,b,H,y,C3,a,f,a_f
THWR,Brassicaceae,Thelypodium,wrightii,,Wright's thelypody,,bp,H,y,C3,p,f,p_f
TICA3,Boraginaceae,Tiquilia,canescens,,woody crinklemat,,p,ss,y,C3,p,s,p_s
TICAC,Boraginaceae,Tiquilia,canescens,var. canescens,woody crinklemat,,p,ss ,y,NA,p,s,p_s
TIHI,Boraginaceae,Tiquilia,hispidissima,,hairy crinklemat,,p,ss,y,C3,p,s,p_s
TILA2,Amaranthaceae,Tidestromia,lanuginosa,,wooly tidestromia,C4,a,H,y,C4,a,f,a_f
TOAN,Asteraceae,Townsendia,annua,,annual Townsend daisy,,a,H,y,C3,a,f,a_f
TOEX,Asteraceae,Townsendia,eximia,,tall Townsend daisy,,p,H,y,C3,p,f,p_f
TOEX2,Asteraceae,Townsendia,exscapa,,stemless Townsend daisy,,p,H,y,C3,p,f,p_f
TRBE,Poaceae,Tragus,berteronianus,,spiked bur grass,,a,G,y,C3,a,g,a_g
TRCAW2,Nyctaginaceae,Tripterocalyx,carneus,var. wootonii,Wooton's sandpuffs,,a,H,y,C3,a,f,a_f
TRMA20,Juncaginaceae,Triglochin,maritimum,,seaside arrowgrass,,p,G,y,NA,p,g,p_g
TRMI6,Nyctaginaceae,Tripterocalyx,micranthus,,smallflower sandverbena,,a,H,y,C3,a,f,a_f
TRMU,Poaceae,Tridens,muticus,,slim tridens,,p,G,y,C4,p,g,p_g
TRMUE,Poaceae,Tridens,muticus,var. elongatus,slim tridens,,p,G,y,C4,p,g,p_g
TRPI,Commelinaceae,Tradescantia,pinetorum,,pinewoods spiderwort,,p,H,y,C3,p,f,p_f
TRPO2,Aizoaceae,Trianthema,portulacastrum,,desert horsepurslane,,ap,H/su,y,C4,p,f,p_f
TRRA,Poaceae,Tragus,racemosus,,stalked bur grass,,a,G,y,C3,a,g,a_g
TRRA5,Euphorbiaceae,Tragia,ramosa,,branched noseburn,C3,p,V/S/ss/H,y,C3,p,f,p_f
VEAN2,Scrophulariaceae,Veronica,anagallis-aquatica,,water speedwell,,bp,H,y,C3,p,f,p_f
VEBR,Verbenaceae,Verbena,bracteata,,bigbract verbena,C3,abp,H,y,C3,p,f,p_f
VEEN,Asteraceae,Verbesina,encelioides,,golden crownbeard,C3,a,H,y,NA,a,f,a_f
VEENE2,Asteraceae,Verbesina,encelioides,subsp. exauriculata,golden crownbeard,C3,a,H,y,C3,a,f,a_f
VEENE3,Asteraceae,Verbesina,encelioides,subsp. encelioides,golden crownbeard,C3,a,H,y,C3,a,f,a_f
VENEH,Verbenaceae,Verbena,neomexicana,var. hirtella,hillside vervain,,p,H,y,C3,p,f,p_f
VIAR2,Vitaceae,Vitis,arizonica,,canyon grape,,p,WV,y,C3,p,s,p_s
VIDE3,Asteraceae,Viguiera,dentata,,toothleaf goldeneye,,p,ss/H,y,C3,p,f,p_f
VILUL2,Fabaceae,Vicia,ludoviciana,subsp. ludoviciana,Lousiana vetch,,a,V/H,y,C3,a,f,a_f
VINE,,unk vine,unk vine,,unk vine,,p,V,y,C3,p,s,p_s
VUOC,Poaceae,Vulpia,octoflora,var. glauca,sixweeks fescue,C3,a,G,y,C3,a,g,a_g
WONE,Dryopteridaceae,Woodsia,neomexicana,,New Mexico cliff fern,,p,H,y,C3,p,f,p_f
XAST,Asteraceae,Xanthium,strumarium,,rough cocklebur,C3,a,H,y,NA,a,f,a_f
XASTC,Asteraceae,Xanthium,strumarium,var. canadense,Canada cocklebur,C3,a,H,y,C3,a,f,a_f
XASTG,Asteraceae,Xanthium,strumarium,var. glabratum,rough cocklebur,C3,a,H,y,NA,a,f,a_f
YUBA,Agavaceae,Yucca,baccata,,banana yucca,CAM,p,S/ss/H,y,CAM,p,s,p_s
YUBAI,Agavaceae,Yucca,baileyi,var. intermedia,intermediate yucca,,p,S/ss/H,y,CAM,p,s,p_s
YUEL,Agavaceae,Yucca,elata,,soaptree yucca,,p,S/ss/H,y,CAM,p,s,p_s
YUGL,Agavaceae,Yucca,glauca,,soapweed yucca,,p,S/ss/H,y,CAM,p,s,p_s
ZIGR,Asteraceae,Zinnia,grandiflora,,Rocky Mountain zinnia,C3,p,S/ss/H,y,C3,p,s,p_s
CUSCU,Cuscutaceae,Cuscuta,spp.,,dodder,,,,,C3,a,f,a_f
LEMNA,Lemnaceae,Lemna,spp.,,duckweed,,,,,C3,a,f,a_f
